Approach,Recall,Precision
IR-ONLY-VSM,0.05,0.3571
IR-ONLY-VSM,0.10,0.2857
IR-ONLY-VSM,0.15,0.2273
IR-ONLY-VSM,0.20,0.1935
IR-ONLY-VSM,0.25,0.1664
IR-ONLY-VSM,0.30,0.1592
IR-ONLY-VSM,0.35,0.1383
IR-ONLY-VSM,0.40,0.1207
IR-ONLY-VSM,0.45,0.1068
IR-ONLY-VSM,0.50,0.0919
IR-ONLY-VSM,0.55,0.0754
IR-ONLY-VSM,0.60,0.0639
IR-ONLY-VSM,0.65,0.0557
IR-ONLY-VSM,0.70,0.0499
IR-ONLY-VSM,0.75,0.0483
IR-ONLY-VSM,0.80,0.0483
IR-ONLY-VSM,0.85,0.0483
IR-ONLY-VSM,0.90,0.0483
IR-ONLY-VSM,0.95,0.0409
IR-ONLY-VSM,1.00,0.0388
TRIAD-VSM,0.05,0.4038
TRIAD-VSM,0.10,0.2770
TRIAD-VSM,0.15,0.2253
TRIAD-VSM,0.20,0.2031
TRIAD-VSM,0.25,0.1840
TRIAD-VSM,0.30,0.1653
TRIAD-VSM,0.35,0.1361
TRIAD-VSM,0.40,0.1192
TRIAD-VSM,0.45,0.1065
TRIAD-VSM,0.50,0.0899
TRIAD-VSM,0.55,0.0740
TRIAD-VSM,0.60,0.0632
TRIAD-VSM,0.65,0.0561
TRIAD-VSM,0.70,0.0515
TRIAD-VSM,0.75,0.0477
TRIAD-VSM,0.80,0.0477
TRIAD-VSM,0.85,0.0477
TRIAD-VSM,0.90,0.0477
TRIAD-VSM,0.95,0.0406
TRIAD-VSM,1.00,0.0386
IR-ONLY-LSI,0.05,0.4746
IR-ONLY-LSI,0.10,0.3727
IR-ONLY-LSI,0.15,0.2521
IR-ONLY-LSI,0.20,0.1690
IR-ONLY-LSI,0.25,0.1381
IR-ONLY-LSI,0.30,0.1301
IR-ONLY-LSI,0.35,0.1174
IR-ONLY-LSI,0.40,0.0963
IR-ONLY-LSI,0.45,0.0832
IR-ONLY-LSI,0.50,0.0804
IR-ONLY-LSI,0.55,0.0711
IR-ONLY-LSI,0.60,0.0654
IR-ONLY-LSI,0.65,0.0592
IR-ONLY-LSI,0.70,0.0551
IR-ONLY-LSI,0.75,0.0520
IR-ONLY-LSI,0.80,0.0500
IR-ONLY-LSI,0.85,0.0468
IR-ONLY-LSI,0.90,0.0451
IR-ONLY-LSI,0.95,0.0395
IR-ONLY-LSI,1.00,0.0370
TRIAD-LSI,0.05,0.5476
TRIAD-LSI,0.10,0.3704
TRIAD-LSI,0.15,0.2383
TRIAD-LSI,0.20,0.1695
TRIAD-LSI,0.25,0.1471
TRIAD-LSI,0.30,0.1273
TRIAD-LSI,0.35,0.1170
TRIAD-LSI,0.40,0.0987
TRIAD-LSI,0.45,0.0880
TRIAD-LSI,0.50,0.0772
TRIAD-LSI,0.55,0.0743
TRIAD-LSI,0.60,0.0642
TRIAD-LSI,0.65,0.0584
TRIAD-LSI,0.70,0.0536
TRIAD-LSI,0.75,0.0523
TRIAD-LSI,0.80,0.0485
TRIAD-LSI,0.85,0.0465
TRIAD-LSI,0.90,0.0451
TRIAD-LSI,0.95,0.0399
TRIAD-LSI,1.00,0.0370
IR-ONLY-JSD,0.05,0.2597
IR-ONLY-JSD,0.10,0.1575
IR-ONLY-JSD,0.15,0.1567
IR-ONLY-JSD,0.20,0.1110
IR-ONLY-JSD,0.25,0.0926
IR-ONLY-JSD,0.30,0.0852
IR-ONLY-JSD,0.35,0.0770
IR-ONLY-JSD,0.40,0.0704
IR-ONLY-JSD,0.45,0.0620
IR-ONLY-JSD,0.50,0.0596
IR-ONLY-JSD,0.55,0.0563
IR-ONLY-JSD,0.60,0.0546
IR-ONLY-JSD,0.65,0.0495
IR-ONLY-JSD,0.70,0.0479
IR-ONLY-JSD,0.75,0.0453
IR-ONLY-JSD,0.80,0.0434
IR-ONLY-JSD,0.85,0.0423
IR-ONLY-JSD,0.90,0.0423
IR-ONLY-JSD,0.95,0.0404
IR-ONLY-JSD,1.00,0.0380
TRIAD-JSD,0.05,0.3500
TRIAD-JSD,0.10,0.1951
TRIAD-JSD,0.15,0.1568
TRIAD-JSD,0.20,0.1240
TRIAD-JSD,0.25,0.0946
TRIAD-JSD,0.30,0.0834
TRIAD-JSD,0.35,0.0791
TRIAD-JSD,0.40,0.0745
TRIAD-JSD,0.45,0.0638
TRIAD-JSD,0.50,0.0585
TRIAD-JSD,0.55,0.0562
TRIAD-JSD,0.60,0.0537
TRIAD-JSD,0.65,0.0514
TRIAD-JSD,0.70,0.0477
TRIAD-JSD,0.75,0.0456
TRIAD-JSD,0.80,0.0433
TRIAD-JSD,0.85,0.0416
TRIAD-JSD,0.90,0.0414
TRIAD-JSD,0.95,0.0396
TRIAD-JSD,1.00,0.0378
IR-ONLY-VSM,0.05,0.3571
IR-ONLY-VSM,0.10,0.2857
IR-ONLY-VSM,0.15,0.2273
IR-ONLY-VSM,0.20,0.1935
IR-ONLY-VSM,0.25,0.1664
IR-ONLY-VSM,0.30,0.1592
IR-ONLY-VSM,0.35,0.1383
IR-ONLY-VSM,0.40,0.1207
IR-ONLY-VSM,0.45,0.1068
IR-ONLY-VSM,0.50,0.0919
IR-ONLY-VSM,0.55,0.0754
IR-ONLY-VSM,0.60,0.0639
IR-ONLY-VSM,0.65,0.0557
IR-ONLY-VSM,0.70,0.0499
IR-ONLY-VSM,0.75,0.0483
IR-ONLY-VSM,0.80,0.0483
IR-ONLY-VSM,0.85,0.0483
IR-ONLY-VSM,0.90,0.0483
IR-ONLY-VSM,0.95,0.0409
IR-ONLY-VSM,1.00,0.0388
TRIAD-VSM,0.05,0.4038
TRIAD-VSM,0.10,0.2770
TRIAD-VSM,0.15,0.2253
TRIAD-VSM,0.20,0.2031
TRIAD-VSM,0.25,0.1840
TRIAD-VSM,0.30,0.1653
TRIAD-VSM,0.35,0.1361
TRIAD-VSM,0.40,0.1192
TRIAD-VSM,0.45,0.1065
TRIAD-VSM,0.50,0.0899
TRIAD-VSM,0.55,0.0740
TRIAD-VSM,0.60,0.0632
TRIAD-VSM,0.65,0.0561
TRIAD-VSM,0.70,0.0515
TRIAD-VSM,0.75,0.0477
TRIAD-VSM,0.80,0.0477
TRIAD-VSM,0.85,0.0477
TRIAD-VSM,0.90,0.0477
TRIAD-VSM,0.95,0.0406
TRIAD-VSM,1.00,0.0386
IR-ONLY-LSI,0.05,0.4746
IR-ONLY-LSI,0.10,0.3727
IR-ONLY-LSI,0.15,0.2521
IR-ONLY-LSI,0.20,0.1690
IR-ONLY-LSI,0.25,0.1381
IR-ONLY-LSI,0.30,0.1301
IR-ONLY-LSI,0.35,0.1174
IR-ONLY-LSI,0.40,0.0963
IR-ONLY-LSI,0.45,0.0832
IR-ONLY-LSI,0.50,0.0804
IR-ONLY-LSI,0.55,0.0711
IR-ONLY-LSI,0.60,0.0654
IR-ONLY-LSI,0.65,0.0592
IR-ONLY-LSI,0.70,0.0551
IR-ONLY-LSI,0.75,0.0520
IR-ONLY-LSI,0.80,0.0500
IR-ONLY-LSI,0.85,0.0468
IR-ONLY-LSI,0.90,0.0451
IR-ONLY-LSI,0.95,0.0395
IR-ONLY-LSI,1.00,0.0370
TRIAD-LSI,0.05,0.5476
TRIAD-LSI,0.10,0.3704
TRIAD-LSI,0.15,0.2383
TRIAD-LSI,0.20,0.1695
TRIAD-LSI,0.25,0.1469
TRIAD-LSI,0.30,0.1274
TRIAD-LSI,0.35,0.1170
TRIAD-LSI,0.40,0.0987
TRIAD-LSI,0.45,0.0881
TRIAD-LSI,0.50,0.0773
TRIAD-LSI,0.55,0.0745
TRIAD-LSI,0.60,0.0642
TRIAD-LSI,0.65,0.0584
TRIAD-LSI,0.70,0.0536
TRIAD-LSI,0.75,0.0525
TRIAD-LSI,0.80,0.0486
TRIAD-LSI,0.85,0.0465
TRIAD-LSI,0.90,0.0451
TRIAD-LSI,0.95,0.0399
TRIAD-LSI,1.00,0.0370
IR-ONLY-JSD,0.05,0.2597
IR-ONLY-JSD,0.10,0.1575
IR-ONLY-JSD,0.15,0.1567
IR-ONLY-JSD,0.20,0.1110
IR-ONLY-JSD,0.25,0.0926
IR-ONLY-JSD,0.30,0.0852
IR-ONLY-JSD,0.35,0.0770
IR-ONLY-JSD,0.40,0.0704
IR-ONLY-JSD,0.45,0.0620
IR-ONLY-JSD,0.50,0.0596
IR-ONLY-JSD,0.55,0.0563
IR-ONLY-JSD,0.60,0.0546
IR-ONLY-JSD,0.65,0.0495
IR-ONLY-JSD,0.70,0.0479
IR-ONLY-JSD,0.75,0.0453
IR-ONLY-JSD,0.80,0.0434
IR-ONLY-JSD,0.85,0.0423
IR-ONLY-JSD,0.90,0.0423
IR-ONLY-JSD,0.95,0.0404
IR-ONLY-JSD,1.00,0.0380
TRIAD-JSD,0.05,0.3500
TRIAD-JSD,0.10,0.1961
TRIAD-JSD,0.15,0.1568
TRIAD-JSD,0.20,0.1240
TRIAD-JSD,0.25,0.0946
TRIAD-JSD,0.30,0.0834
TRIAD-JSD,0.35,0.0791
TRIAD-JSD,0.40,0.0745
TRIAD-JSD,0.45,0.0638
TRIAD-JSD,0.50,0.0585
TRIAD-JSD,0.55,0.0562
TRIAD-JSD,0.60,0.0537
TRIAD-JSD,0.65,0.0514
TRIAD-JSD,0.70,0.0477
TRIAD-JSD,0.75,0.0456
TRIAD-JSD,0.80,0.0433
TRIAD-JSD,0.85,0.0417
TRIAD-JSD,0.90,0.0414
TRIAD-JSD,0.95,0.0397
TRIAD-JSD,1.00,0.0378
IR-ONLY-VSM,0.05,0.3571
IR-ONLY-VSM,0.10,0.2857
IR-ONLY-VSM,0.15,0.2273
IR-ONLY-VSM,0.20,0.1935
IR-ONLY-VSM,0.25,0.1664
IR-ONLY-VSM,0.30,0.1592
IR-ONLY-VSM,0.35,0.1383
IR-ONLY-VSM,0.40,0.1207
IR-ONLY-VSM,0.45,0.1068
IR-ONLY-VSM,0.50,0.0919
IR-ONLY-VSM,0.55,0.0754
IR-ONLY-VSM,0.60,0.0639
IR-ONLY-VSM,0.65,0.0557
IR-ONLY-VSM,0.70,0.0499
IR-ONLY-VSM,0.75,0.0483
IR-ONLY-VSM,0.80,0.0483
IR-ONLY-VSM,0.85,0.0483
IR-ONLY-VSM,0.90,0.0483
IR-ONLY-VSM,0.95,0.0409
IR-ONLY-VSM,1.00,0.0388
TRIAD-VSM,0.05,0.4038
TRIAD-VSM,0.10,0.2770
TRIAD-VSM,0.15,0.2253
TRIAD-VSM,0.20,0.2031
TRIAD-VSM,0.25,0.1840
TRIAD-VSM,0.30,0.1653
TRIAD-VSM,0.35,0.1361
TRIAD-VSM,0.40,0.1192
TRIAD-VSM,0.45,0.1065
TRIAD-VSM,0.50,0.0899
TRIAD-VSM,0.55,0.0740
TRIAD-VSM,0.60,0.0632
TRIAD-VSM,0.65,0.0561
TRIAD-VSM,0.70,0.0515
TRIAD-VSM,0.75,0.0477
TRIAD-VSM,0.80,0.0477
TRIAD-VSM,0.85,0.0477
TRIAD-VSM,0.90,0.0477
TRIAD-VSM,0.95,0.0406
TRIAD-VSM,1.00,0.0386
IR-ONLY-LSI,0.05,0.4746
IR-ONLY-LSI,0.10,0.3727
IR-ONLY-LSI,0.15,0.2521
IR-ONLY-LSI,0.20,0.1690
IR-ONLY-LSI,0.25,0.1381
IR-ONLY-LSI,0.30,0.1301
IR-ONLY-LSI,0.35,0.1174
IR-ONLY-LSI,0.40,0.0963
IR-ONLY-LSI,0.45,0.0832
IR-ONLY-LSI,0.50,0.0804
IR-ONLY-LSI,0.55,0.0711
IR-ONLY-LSI,0.60,0.0654
IR-ONLY-LSI,0.65,0.0592
IR-ONLY-LSI,0.70,0.0551
IR-ONLY-LSI,0.75,0.0520
IR-ONLY-LSI,0.80,0.0500
IR-ONLY-LSI,0.85,0.0468
IR-ONLY-LSI,0.90,0.0451
